VESSEL,OFFICIAL NUMBER,PERMIT_HOLDER,PERMIT_NO,VSL_LENGTH,VSL_CALLSIGN
3 Brothers,992625,Dat Pham LLC,992625,75,WDJ2190
Alana,1250644,"KD Fishery, LLC",1250644,77,WDH2943
Anthony G,554581,"Ao Shibi, Inc.",554581,62.1,WDD4078
Aolani,1250647,"KD Fishery, LLC",1250647,77,WDH2942
Apsara,1026555,"Pacific Fishing & Supply, Inc.",1026555,83.3,WDC9832
Autumn,543021,"Dang Fishery, Inc.",543021,68.4,
Azure,687578,"Nguyen Fishery, Inc.",687578,79,WDB5136
Blue Dragon,969350,B Dragon Corp.,969350,85.2,WCW8644
Blue Sky,695186,"Blue Sky Fishing Producer, Inc.",695186,62,WCF3666
Capt Andy,921769,Capt Andy LLC,921769,75,WDF4259
Capt Danny,1087644,Lisa Vo,1087644,74.6,WDG2262
Capt Davis,1048002,Thanh H. Nguyen,1048002,72,WDE6959
Capt K,1045090,"Christine Tran, Inc.",1045090,82.6,WDI5410
Capt Kenneth,991059,Thanh H. Nguyen & Nga Nguyen,991059,77,WDE9574
Capt Kevin,928327,Capt Kevin T & V LLC,928327,83.3,WDD5530
Capt Millions I,944388,"Pacific Fishing & Supply, Inc.",944388,78.4,WDH3493
Capt Millions III,962709,"Capt. Millions III, LLC",962709,83.3,WDI7869
Capt. Greg,602871,"Aquanut Company, Inc.",602871,66.4,WTC4742
Capt. Silver,696011,Capt. Silver Inc.,696011,63,WDJ6621
Captain Alex,638772,Lady Anh Thu LLC,638772,72,WDJ2055
Captain D,927418,"Pacific Fishing & Supply, Inc.",927418,76.9,WDF6917
Captain J 3,1045208,Nguyen J3 LLC,1045208,81,WDD9332
Caroleigh,1148460,"Vessel Management Associates, Inc.",1148460,78,WDB5462
Christine N,597552,Christine N. Inc,597552,56,WDD2133
Commander,551566,L&L Fishery Inc.,551566,73.5,WDG6356
Crystal,910805,"Crystal, LLC",910805,72,WDD4711
Cumberland Trail,512654,"Pac Rim Leasing, LLC",512654,68.5,WDH8553
Destiny,1031845,Pac Rim Leasing LLC,1031845,71,WDJ3184
Double D,944985,J D F Corporation,944985,70,WDE8311
Edward G.,927505,"Edward G. Co., Inc.",927505,77.9,WTC 4737
Finback,557678,"Finback Fisheries, LLC",557678,52.1,WDJ6627
Gail Ann,939087,"Gail Ann Co., Inc.",939087,92.7,WAK2110
Golden Dragon,1120346,A & M Fishing Company Inc.,1120346,88.4,WDF6184
Golden Eagle,1048418,RS Fishery LLC,1048418,79.2,WDD353
Golden Eagle II,963497,"Golden Eagle II, LLC",963497,72.3,WDF6942
Golden Phoenix,1041265,"D & L Fishing, Inc.",1041265,82.3,WDI6495
Green Mountain,916945,Green Mountain LLC,916945,72,WDI7875
Gutsy Lady 4,1120347,Gutsy Lady 4 LLC,1120347,85.8,WDG7854
Hawaii Ocean,969226,Lequan LLC,969226,84.3,WDH2830
Hokuao,598973,"White, Inc.",598973,62.3,WCW9327
Holokai,584836,JDF Corporation,584836,42.8,WDI4210
Iron Lady,690722,Younghye Cain & Soon Ye Bang,690722,63.1,WDH9145
Jane,252505,Ohana Fishing LLC,252505,56.7,WDB5370
Janthina,978287,Trans World Marine Inc.,978287,79.2,WDD5640
Jennifer,946383,Kil Cho Moon,946383,54,WDB9703
Jenny,615433,F/V Virginia Creeper LLC,615433,58.5,WDE7622
Kaimana,1034463,"Twin Nguyen Fishery, LLC",1034463,78,WDJ4590
Kaimi,615207,"Fishrite, Inc.",615207,55,WDB5495
Kalani,576129,RS Fishery LLC,576129,54.7,WDJ2879
Kami M,690307,Pacific Jennings Inc.,690307,73.2,WDD5030
Katherine II,912433,K. A. Fishing Company Inc.,912433,66,WCX6053
Katy Mary,934489,"Vessel Management Associates, Inc.",934489,74.9,WCX2232
Kawaiola,533411,Pac Rim Leasing LLC,533411,68.6,WDH8904
Kawika,1113224,"Vessel Management Associates, Inc.",1113224,72,WDA6034
Kelly Ann,929284,Kelly Ann Corp.,929284,77.9,WBO9234
Kilauea,518306,"F/V Kilauea, Inc.",518306,72,WDF4959
Kimmy I,929589,Kim H. Tran & Nina Tran,929589,78.5,WCB4766
Kraken,991843,Pelagic Fisheries Inc.,991843,63.4,WDF7555
Lady Alice,594346,Lucky S. S. LLC,594346,84,WDJ2118
Lady Ann Margaret,910974,Lady Ann Margaret Inc.,910974,71,WDF3424
Lady Anna,943337,Lady Anna Corp.,943337,78,WDD4295
Lady Annie,913939,P W Annie Fishing Inc.,913939,73,WDF7010
Lady Betty,682407,"RBKL, Inc.",682407,62,WCQ4711
Lady Christine I,1139848,"Christine Tran, Inc.",1139848,82.6,WDE5097
Lady J3,909004,Nguyen J3 LLC,909004,70,WDF8205
Lady Jackie,1040833,Lady Jackie Inc.,1040833,78.5,WDG6373
Lady Karen,1089736,Dong Anh LLC,1089736,74.6,WDI5313
Lady Karen II,616365,Lady Karen Inc.,616365,68.9,WDG8523
Lady Luck,905580,JBN Fishery LLC,905580,72.8,WDI2728
Lady Mocha I,697292,Eric La Nguyen,697292,66,WDG9696
Lady Mocha II,577621,"Lady Mocha II, Inc.",577621,57,WDI5732
Lady of the Sea,909535,"Nuong Nguyen Fishery, LLC",909535,68,WDG8406
Lady of the Sea II,910809,Lady of the Sea LLC,910809,68,WDI5216
Lady Pauline,545581,"King Charles Fishery, LLC",545581,77,WDH7134
Lanikai,1029712,"Twin Nguyen Fishery, LLC",1029712,76,WDJ2257
Laura Ann,672662,"Laura Ann Fisheries, LLC",672662,69,WDH6391
Mana Hawaii,1135654,B&J Fishery LLC,1135654,68,WDJ6880
Mariah,952622,"Vessel Management Associates, Inc.",952622,69.7,WCX8862
Marie M,509968,Viking V Incorporated,509968,65.7,WX9744
Marine Star,537893,Viking V Incorporated,537893,68,WYZ6767
Mighty Joe,985031,Mighty Joe Inc.,985031,81.6,WDD6511
Mikette,622875,Michael R. & Paulette C. Brown,622875,84.7,WDE2331
Miss Ellen,612418,Dang-Ha Brother LLC,612418,67,WDI6845
Miss Emma,580562,"Pago Pago Fisheries, Inc.",580562,45.4,WDG8849
Miss Julie,925847,Quan Do,925847,68.7,WCW6964
Miss Renee,611010,"Pacific Fishing & Supply, Inc.",611010,49.8,WDG3231
Nahoa,910157,"KD Fishery, LLC",910157,74.8,WDJ4715
Okay,630817,"Okay, Inc.",630817,58.9,WDC2224
Pacific Dragon,1021265,TWOL LLC,1021265,81.5,WDH9397
Pacific Horizon,627203,Arthur Haworth and David Haworth,627203,73.6,WDD4529
Pacific Paradise,550839,TWOL LLC,550839,79.4,WDH9020
Pacific Reflection,546106,Gunn Pacific Reflection LLC,546106,98,WCZ2349
Pacific Star,970935,Pacific Star Vessel LLC,970935,82.3,WDC9440
Pacific Sun,615432,More Ahi Inc.,615432,58.5,WDB6251
Paradise 2001,1081225,"Dang Fishery, Inc.",1081225,75,WDF3412
Paradise 2002,1081227,"Nguyen Fishery, Inc.",1081227,75,WDF3629
Princess Hawaii,576176,"Holly Fishery, LLC",576176,61.5,WDI7553
Princess Jasmine,1048217,"Dang Fishery, Inc.",1048217,83.8,WDC5729
Princess Jasmine II,1050806,"Nguyen Fishery, Inc.",1050806,78,WDC5730
Princess K,511130,"Pago Pago Fisheries, Inc.",511130,68.5,WDG2566
Queen Alina,1045268,V & A Inc.,1045268,80.8,WDE3945
Queen Diamond,964927,Queen Diamond Inc.,964927,76.3,WDD2346
Queen Diamond II,949947,JBN Fishery LLC,949947,76,WAD5930
Quynh Vy,512767,Quynh Vy Corporation,512767,72.8,WCY9275
Rachel,1050716,Kama'aina Holdings LLC,1050716,90.1,WDG7521
Rising Phoenix,615617,"KD Fishery, LLC",615617,74.3,WDH2941
Rising Phoenix II,1107128,"Dang Fishery, Inc.",1107128,84.6,WDH3125
Robin II,907207,"L.S. Fishing, Inc.",907207,62,WDF9642
Sancho 1.2,626560,"Ocean Pearl, LLC",626560,49,WDI8378
Sapphire,905883,Twin Nguyen Fishery LLC,905883,71,WDH6467
Sapphire II,926208,"Sapphire II, LLC",926208,76,WDH6468
Sapphire III,964929,"RS Fishery, LLC",964929,83.3,WDJ5613
Sea Diamond,910973,Sea Diamond Corporation,910973,71,WDD7243
Sea Dragon,916874,BB Bay LLC,916874,72,WUV5035
Sea Dragon II,1089137,"Sea Dragon II, Inc.",1089137,74.6,WZC5821
Sea Dragon III,1051110,CN Fishery LLC,1051110,74.4,WDI9669
Sea Goddess,929439,"Sea Goddess Vessel, LLC",929439,83.6,WDJ4426
Sea Hawk,513575,"Nguyen Fishery, Inc.",513575,54.8,WDH9345
Sea Hunt,1046666,"Pac Rim Leasing, LLC",1046666,77.7,WDJ2875
Sea Moon,912794,Sea Flower Inc.,912794,66,WCM9435
Sea Moon I,927176,"Sen Fishing Co., LLC",927176,76.9,WDI3527
Sea Pearl,982518,"Vessel Management Associates, Inc.",982518,87.3,WDE5691
Sea Queen II,939008,Thoai Van Nguyen,939008,78.7,WDE5203
Sea Queen IIA,1110939,Thoai Van Nguyen,1110939,83.2,WDH2007
Seaspray,609841,Fresh Island Fish Co. Inc,609841,48.9,WDF8671
Second Andy,1168403,"Second Andy, LLC",1168403,74,WDI2818
Serenity,542088,"Pago Pago Fisheries, Inc.",542088,52.7,WDF6268
Seven Star,593762,"Linh Dao Fishery, LLC",593762,72.1,WDJ4329
Sky Moon,559024,Kyung Nok Shin,559024,71.2,WDB7145
Southern Horizon,1052597,F/V Pac Horizon Inc.,1052597,89.4,WDE9588
St Joseph,916657,"Linh Fishery, LLC",916657,91.4,WDJ5013
St. Damien,509600,"OKAY, LLC",509600,63,WDG7604
St. Marianne,583780,Libra Delta LLC,583780,77,WDJ2093
St. Martin,689668,Tran Fishery LLC,689668,74,WDF7256
St. Peter,911298,RS Fishery LLC,911298,72,WDF5798
Sylvia,686609,"B-52, Inc.",686609,72,WDE3606
The Seeker II,588768,Seeker Fisheries Inc.,588768,77,WDD3892
Triple Andy,968001,Triple Andy LLC,968001,84.8,WDJ2903
Triple Dragon,913733,Triple Dragon LLC,913733,78,WCY7734
VAK 2,909147,VAK Fisheries LLC,909147,70,WDE9960
VAK 3,910988,GAO Investment Inc.,910988,66,WDF6735
Victoria,639570,New Holly Fishery LLC,639570,49.7,WDJ2400
Vui Vui,930207,"P & H Enterprises, Ltd",930207,75,WDJ3471
Vui Vui II,914121,"P & H Enterprises, Ltd.",914121,79.5,WDE9678
Yaozaa,659760,"Ecofisherman, Inc.",659760,70,WDE4824
Zephyr,1101877,"Chan's Fisheries, LLC",1101877,78.7,WDI8954